GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
o1springreactivenonreactive,projecteval.springreactivenonreactive.model,Message,4,33,0,0,0,7,1,7,1,7
o1springreactivenonreactive,projecteval.springreactivenonreactive.controller,MVCSyncController,0,17,0,0,0,3,0,3,0,3
o1springreactivenonreactive,projecteval.springreactivenonreactive.controller,MVCAsyncController,0,27,0,0,0,3,0,5,0,5
o1springreactivenonreactive,projecteval.springreactivenonreactive.controller,WebFluxController,0,17,0,0,0,4,0,4,0,4
o1springreactivenonreactive,projecteval.springreactivenonreactive,SpringMvcVsWebfluxApplication,8,0,0,0,3,0,2,0,2,0
