GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
o1emailgenerator,projecteval.emailgenerator,EmailApp,113,23,10,0,38,7,8,1,1,1
o1emailgenerator,projecteval.emailgenerator,Email,22,203,3,13,11,49,7,16,4,11
