GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
o1springdatamongowithcluster,projecteval.springdatamongowithcluster,Car,0,13,0,0,0,1,0,2,0,2
o1springdatamongowithcluster,projecteval.springdatamongowithcluster,Car.CarBuilder,6,21,0,0,0,1,1,4,1,4
o1springdatamongowithcluster,projecteval.springdatamongowithcluster,SpringDataMongoWithClusterApplication,5,44,0,0,2,9,1,3,1,3
