GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
o1redis,projecteval.redis,RedisConfigurationBuilder,112,158,34,20,21,37,21,12,0,6
o1redis,projecteval.redis,DummyReadWriteLock,0,14,0,0,0,4,0,3,0,3
o1redis,projecteval.redis,RedisConfig,4,122,1,11,2,47,2,29,1,24
o1redis,projecteval.redis,JDKSerializer,6,51,0,2,2,13,0,4,0,3
o1redis,projecteval.redis,Main,12,115,4,8,3,25,5,4,1,2
o1redis,projecteval.redis,RedisCache,9,188,2,4,2,34,3,16,1,15
o1redis,projecteval.redis,KryoSerializer,27,87,2,4,6,21,2,5,0,4
o1redis,projecteval.redis,DummyReadWriteLock.DummyLock,3,9,0,0,2,5,2,5,2,5
