GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
o1Actor_relationship_game,projecteval.Actor_relationship_game,ActorGraphUtil,81,0,4,0,26,0,6,0,4,0
o1Actor_relationship_game,projecteval.Actor_relationship_game,GameplayInterface,130,130,9,9,34,30,10,6,4,3
o1Actor_relationship_game,projecteval.Actor_relationship_game,Movie,0,35,0,0,0,14,0,7,0,7
o1Actor_relationship_game,projecteval.Actor_relationship_game,TMDBApi,12,67,2,2,2,14,2,3,0,3
o1Actor_relationship_game,projecteval.Actor_relationship_game,ActorGraph,13,258,4,18,5,53,8,17,4,10
o1Actor_relationship_game,projecteval.Actor_relationship_game,GraphCreation,147,13,4,0,42,4,9,1,7,1
o1Actor_relationship_game,projecteval.Actor_relationship_game,Actor,0,35,0,0,0,14,0,7,0,7
