GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
o1logrequestresponseundertow,projecteval.logrequestresponseundertow,Song.SongBuilder,8,28,0,0,0,1,1,5,1,5
o1logrequestresponseundertow,projecteval.logrequestresponseundertow,Application,25,35,0,0,5,8,5,4,5,4
o1logrequestresponseundertow,projecteval.logrequestresponseundertow,SongController,9,33,0,0,2,5,1,2,1,2
o1logrequestresponseundertow,projecteval.logrequestresponseundertow,Song,0,40,0,0,0,7,0,9,0,9
