GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
o1SimpleChat,projecteval.SimpleChat,VerySimpleChatServer.ClientHandler,9,37,1,1,4,11,1,2,0,2
o1SimpleChat,projecteval.SimpleChat,VerySimpleChatServer,52,21,0,2,16,8,2,3,2,2
o1SimpleChat,projecteval.SimpleChat,Client.SendButtonListener,32,0,0,0,9,0,2,0,2,0
o1SimpleChat,projecteval.SimpleChat,Client.IncomingReader,8,21,1,1,2,6,1,2,0,2
o1SimpleChat,projecteval.SimpleChat,Client,139,3,0,0,34,1,3,1,3,1
